Year,Area,Species Name,Number Of Fish (estimated),Landed Weight (lbs),Whole Weight (lbs),Permit Count,Processor Count,Vessel Count
1990,Norton Sound/Port Clarence,Coho Salmon,56712,426906,426906,83,4,1
1990,Norton Sound/Port Clarence,Sockeye Salmon,434,3226,3226,69,5,1
1990,Prince William Sound,Chinook Salmon,22161,569939,569939,592,20,675
1990,Prince William Sound,Chum Salmon,967130,8909352,8909352,772,23,1117
1990,Prince William Sound,Coho Salmon,524296,4734896,4734896,770,22,1099
1990,Prince William Sound,Pink Salmon,44160128,131507820,131507820,731,21,1098
1990,Prince William Sound,Sockeye Salmon,911144,5588989,5588989,817,21,1210
1990,Southeast/Yakutat,Chinook Salmon,348426,5828097,7579,2242,67,2214
1990,Southeast/Yakutat,Chum Salmon,2217894,20714331,8907,2190,71,2170
1990,Southeast/Yakutat,Coho Salmon,2868148,20480963,127996,2458,75,2486
1990,Southeast/Yakutat,Pink Salmon,32342002,103397663,1473582,2282,64,2320
1990,Southeast/Yakutat,Sockeye Salmon,2155694,13529142,38378,2014,61,1950
1990,Yukon,Chinook Salmon,96138,1855422,1855422,749,23,1
1990,Yukon,Chum Salmon,443556,3238922,3238922,755,22,2
1990,Yukon,Coho Salmon,43632,289183,289183,495,15,1
1990,Yukon,Pink Salmon,743,1876,1876,88,6,1
1990,Yukon,Sockeye Salmon,,,,1,2,1
1991,Alaska Peninsula/Aleutian Islands,Chinook Salmon,17345,283025,283025,381,16,350
1991,Alaska Peninsula/Aleutian Islands,Chum Salmon,1780074,11458818,11458818,412,18,408
1991,Alaska Peninsula/Aleutian Islands,Coho Salmon,534503,3695973,3695973,442,13,407
1991,Alaska Peninsula/Aleutian Islands,Pink Salmon,10621005,33381540,33381540,338,12,324
1991,Alaska Peninsula/Aleutian Islands,Sockeye Salmon,4712839,26242686,26242686,428,21,433
1991,Arctic/Kotzebue,Chinook Salmon,44,714,714,25,3,1
1991,Arctic/Kotzebue,Chum Salmon,239923,1951041,1951041,143,4,1
1991,Bristol Bay,Chinook Salmon,30440,471143,471143,1478,44,914
1991,Bristol Bay,Chum Salmon,1289749,7931713,7931713,2791,55,2157
1991,Bristol Bay,Coho Salmon,117740,816831,816831,679,29,335
1991,Bristol Bay,Pink Salmon,305,1043,1043,134,12,25
1991,Bristol Bay,Sockeye Salmon,25821180,149546620,149546620,2850,57,2159
1991,Chignik,Chinook Salmon,3288,69686,69686,97,12,103
1991,Chignik,Chum Salmon,261422,1678490,1678490,102,11,109
1991,Chignik,Coho Salmon,165641,1183082,1183082,101,8,106
1991,Chignik,Pink Salmon,1169298,3357770,3357770,100,9,107
1991,Chignik,Sockeye Salmon,1899294,12967802,12967802,103,13,118
1991,Cook Inlet,Chinook Salmon,14967,308152,308152,748,34,298
1991,Cook Inlet,Chum Salmon,305202,2024554,2024554,1052,30,739
1991,Cook Inlet,Coho Salmon,446667,2729411,2729411,1227,33,759
1991,Cook Inlet,Pink Salmon,843426,2217962,2217962,1110,26,698
1991,Cook Inlet,Sockeye Salmon,2507423,13644089,13644089,1289,39,789
1991,Kodiak,Chinook Salmon,22234,269911,269911,467,16,377
1991,Kodiak,Chum Salmon,1029071,7184473,7184473,550,19,436
1991,Kodiak,Coho Salmon,324860,2359566,2359566,531,17,409
1991,Kodiak,Pink Salmon,16642841,48547552,48547552,548,19,435
1991,Kodiak,Sockeye Salmon,5704152,29162885,29162885,550,19,441
1991,Kuskokwim,Chinook Salmon,48304,750154,750154,804,7,1
1991,Kuskokwim,Chum Salmon,503109,3143406,3143406,819,6,2
1991,Kuskokwim,Coho Salmon,557773,3600985,3600985,807,7,2
1991,Kuskokwim,Pink Salmon,588,1976,1976,214,3,1
1991,Kuskokwim,Sockeye Salmon,202750,1407679,1407679,811,7,1
1991,Norton Sound/Port Clarence,Chinook Salmon,6068,107541,107541,113,5,1
1991,Norton Sound/Port Clarence,Chum Salmon,86848,597112,597112,122,5,1
1991,Norton Sound/Port Clarence,Coho Salmon,63615,469215,469215,82,3,1
1991,Norton Sound/Port Clarence,Sockeye Salmon,203,1469,1469,53,4,1
1991,Prince William Sound,Chinook Salmon,35354,799267,799267,592,17,672
1991,Prince William Sound,Chum Salmon,352032,3176557,3176557,734,28,921
