Year,Species Name,Port Area,Pounds,Value
1980,"Clam, gaper",EUREKA,Confidential,Confidential
1980,"Smelt, whitebait",FORT BRAGG,Confidential,Confidential
1980,"Rockfish, unspecified",MORRO BAY,"1,525,356","$ 318,346.00 "
1980,Turbot,SAN FRANCISCO,"1,754",$ 129.00 
1980,Swordfish,SANTA BARBARA,"117,391","$ 302,798.00 "
1980,"Surfperch, unspecified",LOS ANGELES,"21,553","$ 11,295.00 "
1980,"Shark, soupfin",MORRO BAY,"13,400","$ 6,673.00 "
1980,"Lobster, California spiny",MONTEREY,Confidential,Confidential
1980,"Halibut, California",EUREKA,Confidential,Confidential
1980,"Sole, English",SAN FRANCISCO,"1,275,869","$ 317,214.00 "
1980,Butterfish (Pacific pompano),MORRO BAY,489,$ 218.00 
1980,Abalone,SANTA BARBARA,Confidential,Confidential
1980,Grenadier,EUREKA,Confidential,Confidential
1980,Wahoo,SAN DIEGO,"2,859","$ 2,320.00 "
1980,Thornyheads,SANTA BARBARA,"10,851","$ 2,299.00 "
1980,"Rockfish, yelloweye",MONTEREY,"11,896","$ 3,397.00 "
1980,"Sea urchin, red",LOS ANGELES,"2,859,009","$ 473,794.00 "
1980,Turbot,BODEGA BAY,Confidential,Confidential
1980,Grouper,SANTA BARBARA,Confidential,Confidential
1980,"Tuna, albacore",SAN DIEGO,"8,732,075","$ 8,035,924.00 "
1980,"Shark, Pacific angel",SAN DIEGO,"1,422",$ 456.00 
1980,"Lobster, California spiny",SAN DIEGO,"151,572","$ 476,015.00 "
1980,"Oyster, eastern",BODEGA BAY,Confidential,Confidential
1980,"Shark, horn",SAN DIEGO,Confidential,Confidential
1980,"Sole, unspecified",LOS ANGELES,"1,412",$ 868.00 
1980,"Shark, soupfin",FORT BRAGG,"12,844","$ 4,311.00 "
1980,"Abalone, green",SAN DIEGO,"6,444","$ 13,335.00 "
1980,"Rockfish, widow",FORT BRAGG,Confidential,Confidential
1980,"Rockfish, group red",SANTA BARBARA,"12,012","$ 6,833.00 "
1980,"Surfperch, shiner",LOS ANGELES,Confidential,Confidential
1980,"Rockfish, gopher",LOS ANGELES,Confidential,Confidential
1980,"Seabass, totuava",SANTA BARBARA,Confidential,Confidential
1980,"Halibut, unspecified",MONTEREY,Confidential,Confidential
1980,"Shark, spiny dogfish",LOS ANGELES,Confidential,Confidential
1980,"Rockfish, yelloweye",SAN FRANCISCO,"1,717",$ 406.00 
1980,"Salmon, Chinook",BODEGA BAY,"1,146,086","$ 2,561,550.00 "
1980,"Tuna, albacore",MONTEREY,"2,678,855","$ 2,029,503.00 "
1980,"Shrimp, brine",BODEGA BAY,Confidential,Confidential
1980,Sanddab,MONTEREY,"155,199","$ 42,872.00 "
1980,"Crab, rock unspecified",MORRO BAY,"79,142","$ 49,268.00 "
1980,"Rockfish, blue",LOS ANGELES,Confidential,Confidential
1980,"Halibut, California",SACRAMENTO DELTA,Confidential,Confidential
1980,"Shrimp, ocean (pink)",EUREKA,"2,417,251","$ 1,148,087.00 "
1980,Lingcod,MONTEREY,"523,400","$ 97,275.00 "
1980,Silversides,SAN DIEGO,Confidential,Confidential
1980,"Shrimp, unspecified",MORRO BAY,Confidential,Confidential
1980,"Squid, market",MORRO BAY,Confidential,Confidential
1980,"Rockfish, copper",SANTA BARBARA,Confidential,Confidential
1980,"Eel, wolf (wolf-eel)",SAN FRANCISCO,Confidential,Confidential
1980,Butterfish (Pacific pompano),MONTEREY,"45,995","$ 42,389.00 "
1980,"Halibut, California",LOS ANGELES,"92,410","$ 138,877.00 "
1980,"Rockfish, group red",FORT BRAGG,Confidential,Confidential
1980,"Rockfish, bocaccio",LOS ANGELES,"455,152","$ 148,356.00 "
1980,"Bass, kelp",SAN FRANCISCO,Confidential,Confidential
1980,"Surfperch, unspecified",SAN DIEGO,"15,995","$ 8,565.00 "
1980,"Prawn, spot",SANTA BARBARA,"148,582","$ 279,079.00 "
1980,"Octopus, unspecified",FORT BRAGG,"50,492","$ 21,069.00 "
1980,"Bass, giant sea",SANTA BARBARA,"1,361",$ 819.00 
1980,"Salmon, Chinook",EUREKA,"1,557,850","$ 3,502,388.00 "
1980,"Rockfish, starry",MONTEREY,Confidential,Confidential
1980,Salmon,EUREKA,Confidential,Confidential
1980,Yellowtail,SAN DIEGO,"151,361","$ 60,194.00 "
1980,"Crab, Dungeness",LOS ANGELES,Confidential,Confidential
