2705
#Preseason forecast data
#Agency; 1 = FRI, Forecaster; 1 = Hilborn/Chasco and 2 = Don
#Agency; 2 = ADFG, Forecaster; 1 = ADFG
#Agency	Forecaster	ReturnYr	Dist	SystemID	fwAge	oAge	return
2	1	1998	326	9	2	2	28
2	1	1998	326	9	2	3	37
1	2	1999	325	1	0	4	0
1	2	1999	325	1	0	3	0
1	2	1999	325	1	0	2	0
1	2	1999	325	1	1	3	2070
1	2	1999	325	1	1	2	2400
1	2	1999	325	1	1	4	0
2	1	1999	325	1	1	3	1655
2	1	1999	325	1	1	2	1558
1	2	1999	325	1	2	2	110
1	2	1999	325	1	2	1	0
1	2	1999	325	1	2	3	80
2	1	1999	325	1	2	3	76
2	1	1999	325	1	2	2	184
1	2	1999	325	2	0	4	0
1	2	1999	325	2	0	3	90
1	2	1999	325	2	0	2	0
2	1	1999	325	2	0	0	209
1	2	1999	325	2	1	3	600
1	2	1999	325	2	1	2	110
1	2	1999	325	2	1	4	0
2	1	1999	325	2	1	2	68
2	1	1999	325	2	1	3	676
1	2	1999	325	2	2	2	0
1	2	1999	325	2	2	1	0
1	2	1999	325	2	2	3	0
2	1	1999	325	2	2	3	11
2	1	1999	325	2	2	2	5
1	2	1999	325	3	0	4	0
1	2	1999	325	3	0	3	0
1	2	1999	325	3	0	2	0
1	2	1999	325	3	1	3	1030
1	2	1999	325	3	1	2	170
1	2	1999	325	3	1	4	0
2	1	1999	325	3	1	3	553
2	1	1999	325	3	1	2	128
1	2	1999	325	3	2	2	50
1	2	1999	325	3	2	3	30
1	2	1999	325	3	2	1	0
2	1	1999	325	3	2	2	35
2	1	1999	325	3	2	3	38
1	2	1999	324	4	0	4	0
1	2	1999	324	4	0	2	0
1	2	1999	324	4	0	3	0
1	2	1999	324	4	1	3	1230
1	2	1999	324	4	1	4	0
1	2	1999	324	4	1	2	5200
2	1	1999	324	4	1	3	1546
2	1	1999	324	4	1	2	3676
1	2	1999	324	4	2	2	7400
1	2	1999	324	4	2	3	360
1	2	1999	324	4	2	1	0
2	1	1999	324	4	2	2	6368
2	1	1999	324	4	2	3	512
1	2	1999	324	5	0	2	0
1	2	1999	324	5	0	4	0
1	2	1999	324	5	0	3	0
1	2	1999	324	5	1	3	1200
1	2	1999	324	5	1	4	0
1	2	1999	324	5	1	2	380
2	1	1999	324	5	1	2	568
2	1	1999	324	5	1	3	906
1	2	1999	324	5	2	3	600
1	2	1999	324	5	2	2	790
1	2	1999	324	5	2	1	0
2	1	1999	324	5	2	3	698
2	1	1999	324	5	2	2	766
1	2	1999	324	6	0	4	0
1	2	1999	324	6	0	2	0
1	2	1999	324	6	0	3	0
1	2	1999	324	6	1	4	0
1	2	1999	324	6	1	3	140
1	2	1999	324	6	1	2	160
1	2	1999	324	6	2	3	40
1	2	1999	324	6	2	2	160
1	2	1999	324	6	2	1	0
1	2	1999	322	7	0	4	0
1	2	1999	322	7	0	2	0
1	2	1999	322	7	0	3	0
1	2	1999	322	7	1	4	0
1	2	1999	322	7	1	3	1140
1	2	1999	322	7	1	2	570
2	1	1999	322	7	1	2	279
2	1	1999	322	7	1	3	361
1	2	1999	322	7	2	3	1260
1	2	1999	322	7	2	2	4680
1	2	1999	322	7	2	1	0
2	1	1999	322	7	2	2	2418
2	1	1999	322	7	2	3	712
1	2	1999	321	8	0	4	0
1	2	1999	321	8	0	2	0
1	2	1999	321	8	0	3	0
1	2	1999	321	8	1	4	0
1	2	1999	321	8	1	3	990
1	2	1999	321	8	1	2	600
2	1	1999	321	8	1	3	414
2	1	1999	321	8	1	2	207
1	2	1999	321	8	2	3	130
1	2	1999	321	8	2	2	990
1	2	1999	321	8	2	1	0
2	1	1999	321	8	2	3	111
2	1	1999	321	8	2	2	763
1	2	1999	326	9	0	4	0
1	2	1999	326	9	0	2	0
1	2	1999	326	9	0	3	0
1	2	1999	326	9	1	4	0
1	2	1999	326	9	1	3	180
1	2	1999	326	9	1	2	90
2	1	1999	326	9	1	3	161
2	1	1999	326	9	1	2	98
1	2	1999	326	9	2	3	30
1	2	1999	326	9	2	2	30
1	2	1999	326	9	2	1	0
2	1	1999	326	9	2	3	18
2	1	1999	326	9	2	2	29
1	2	2000	325	1	0	2	0
1	2	2000	325	1	0	4	0
1	2	2000	325	1	0	3	0
1	2	2000	325	1	1	2	1400
1	2	2000	325	1	1	3	2000
1	2	2000	325	1	1	4	0
2	1	2000	325	1	1	3	1698
2	1	2000	325	1	1	2	1373
1	2	2000	325	1	2	1	0
1	2	2000	325	1	2	2	200
1	2	2000	325	1	2	3	200
2	1	2000	325	1	2	2	225
2	1	2000	325	1	2	3	136
1	2	2000	325	2	0	3	100
1	2	2000	325	2	0	2	0
1	2	2000	325	2	0	4	0
2	1	2000	325	2	0	0	0
1	2	2000	325	2	1	2	100
1	2	2000	325	2	1	3	700
1	2	2000	325	2	1	4	60
2	1	2000	325	2	1	2	104
2	1	2000	325	2	1	3	645
1	2	2000	325	2	2	1	0
1	2	2000	325	2	2	2	0
1	2	2000	325	2	2	3	0
2	1	2000	325	2	2	2	3
2	1	2000	325	2	2	3	10
1	2	2000	325	3	0	3	0
1	2	2000	325	3	0	2	0
1	2	2000	325	3	0	4	0
1	2	2000	325	3	1	2	300
1	2	2000	325	3	1	3	900
1	2	2000	325	3	1	4	0
2	1	2000	325	3	1	3	1252
2	1	2000	325	3	1	2	274
1	2	2000	325	3	2	1	0
1	2	2000	325	3	2	2	100
1	2	2000	325	3	2	3	300
2	1	2000	325	3	2	3	55
2	1	2000	325	3	2	2	53
1	2	2000	324	4	0	3	0
1	2	2000	324	4	0	2	0
1	2	2000	324	4	0	4	0
1	2	2000	324	4	1	2	2000
1	2	2000	324	4	1	3	2200
1	2	2000	324	4	1	4	0
2	1	2000	324	4	1	2	2935
2	1	2000	324	4	1	3	1804
1	2	2000	324	4	2	1	0
1	2	2000	324	4	2	2	2900
1	2	2000	324	4	2	3	900
2	1	2000	324	4	2	3	1629
2	1	2000	324	4	2	2	3399
1	2	2000	324	5	0	3	0
1	2	2000	324	5	0	2	0
1	2	2000	324	5	0	4	0
1	2	2000	324	5	1	2	500
1	2	2000	324	5	1	4	0
1	2	2000	324	5	1	3	4100
2	1	2000	324	5	1	2	423
2	1	2000	324	5	1	3	3657
1	2	2000	324	5	2	1	0
1	2	2000	324	5	2	3	600
1	2	2000	324	5	2	2	500
2	1	2000	324	5	2	3	771
2	1	2000	324	5	2	2	674
1	2	2000	324	6	0	3	0
1	2	2000	324	6	0	2	0
1	2	2000	324	6	0	4	0
1	2	2000	324	6	1	2	200
1	2	2000	324	6	1	4	0
1	2	2000	324	6	1	3	100
1	2	2000	324	6	2	1	0
1	2	2000	324	6	2	3	40
1	2	2000	324	6	2	2	200
1	2	2000	322	7	0	3	0
1	2	2000	322	7	0	2	0
1	2	2000	322	7	0	4	0
1	2	2000	322	7	1	2	1000
1	2	2000	322	7	1	4	0
1	2	2000	322	7	1	3	3700
2	1	2000	322	7	1	3	1266
2	1	2000	322	7	1	2	854
1	2	2000	322	7	2	1	0
1	2	2000	322	7	2	3	3100
1	2	2000	322	7	2	2	3600
2	1	2000	322	7	2	3	2557
2	1	2000	322	7	2	2	3870
1	2	2000	321	8	0	2	0
1	2	2000	321	8	0	3	0
1	2	2000	321	8	0	4	0
1	2	2000	321	8	1	3	3100
1	2	2000	321	8	1	2	500
1	2	2000	321	8	1	4	0
2	1	2000	321	8	1	2	608
2	1	2000	321	8	1	3	1892
1	2	2000	321	8	2	1	0
1	2	2000	321	8	2	3	600
1	2	2000	321	8	2	2	700
2	1	2000	321	8	2	3	589
2	1	2000	321	8	2	2	1491
1	2	2000	326	9	0	2	0
1	2	2000	326	9	0	3	0
1	2	2000	326	9	0	4	0
1	2	2000	326	9	1	2	100
1	2	2000	326	9	1	4	0
1	2	2000	326	9	1	3	700
2	1	2000	326	9	1	3	540
2	1	2000	326	9	1	2	134
1	2	2000	326	9	2	1	0
1	2	2000	326	9	2	3	100
1	2	2000	326	9	2	2	30
2	1	2000	326	9	2	3	39
2	1	2000	326	9	2	2	28
1	2	2001	325	1	1	2	2140
1	2	2001	325	1	1	3	2110
2	1	2001	325	1	1	3	1478
2	1	2001	325	1	1	2	1610
1	2	2001	325	1	2	2	170
1	2	2001	325	1	2	3	210
2	1	2001	325	1	2	2	1982
2	1	2001	325	1	2	3	69
1	2	2001	325	2	0	3	70
1	2	2001	325	2	0	4	0
2	1	2001	325	2	0	0	0
1	2	2001	325	2	1	2	190
1	2	2001	325	2	1	3	2030
1	2	2001	325	2	1	4	60
2	1	2001	325	2	1	2	98
2	1	2001	325	2	1	3	1322
2	1	2001	325	2	2	2	6
2	1	2001	325	2	2	3	6
1	2	2001	325	3	1	2	240
1	2	2001	325	3	1	3	730
2	1	2001	325	3	1	3	995
2	1	2001	325	3	1	2	155
1	2	2001	325	3	2	2	30
1	2	2001	325	3	2	3	30
2	1	2001	325	3	2	3	49
2	1	2001	325	3	2	2	39
1	2	2001	324	4	0	3	100
1	2	2001	324	4	1	3	700
1	2	2001	324	4	1	2	2000
2	1	2001	324	4	1	2	975
2	1	2001	324	4	1	3	1003
1	2	2001	324	4	2	2	1200
1	2	2001	324	4	2	3	600
2	1	2001	324	4	2	3	119
2	1	2001	324	4	2	2	788
1	2	2001	324	5	1	3	770
1	2	2001	324	5	1	2	250
2	1	2001	324	5	1	3	1196
2	1	2001	324	5	1	2	429
1	2	2001	324	5	2	2	210
1	2	2001	324	5	2	3	620
2	1	2001	324	5	2	3	537
2	1	2001	324	5	2	2	620
1	2	2001	324	6	1	3	170
1	2	2001	324	6	1	2	280
1	2	2001	324	6	2	2	90
1	2	2001	324	6	2	3	20
1	2	2001	322	7	1	2	630
1	2	2001	322	7	1	3	2200
2	1	2001	322	7	1	2	663
2	1	2001	322	7	1	3	990
1	2	2001	322	7	2	2	1230
1	2	2001	322	7	2	3	1320
2	1	2001	322	7	2	2	3084
2	1	2001	322	7	2	3	2883
1	2	2001	321	8	1	3	260
1	2	2001	321	8	1	2	410
2	1	2001	321	8	1	3	586
2	1	2001	321	8	1	2	480
1	2	2001	321	8	2	2	280
1	2	2001	321	8	2	3	520
2	1	2001	321	8	2	2	871
2	1	2001	321	8	2	3	294
1	2	2001	326	9	1	3	320
1	2	2001	326	9	1	2	120
2	1	2001	326	9	1	2	112
2	1	2001	326	9	1	3	296
1	2	2001	326	9	2	2	20
1	2	2001	326	9	2	3	30
2	1	2001	326	9	2	2	25
2	1	2001	326	9	2	3	33
1	2	2002	325	1	1	2	1570
1	2	2002	325	1	1	3	310
2	1	2002	325	1	1	2	2493
2	1	2002	325	1	1	3	1233
1	2	2002	325	1	2	2	160
1	2	2002	325	1	2	3	90
2	1	2002	325	1	2	2	60
2	1	2002	325	1	2	3	8
1	2	2002	325	2	0	3	80
1	2	2002	325	2	0	4	30
2	1	2002	325	2	0	0	176
1	2	2002	325	2	1	3	600
1	2	2002	325	2	1	4	80
1	2	2002	325	2	1	2	160
2	1	2002	325	2	1	2	32
2	1	2002	325	2	1	3	577
2	1	2002	325	2	2	2	3
2	1	2002	325	2	2	3	6
1	2	2002	325	3	1	2	240
1	2	2002	325	3	1	3	540
2	1	2002	325	3	1	2	78
2	1	2002	325	3	1	3	488
1	2	2002	325	3	2	2	30
1	2	2002	325	3	2	3	20
2	1	2002	325	3	2	2	22
2	1	2002	325	3	2	3	12
1	2	2002	324	4	1	3	670
1	2	2002	324	4	1	2	470
2	1	2002	324	4	1	2	629
2	1	2002	324	4	1	3	1006
1	2	2002	324	4	2	3	250
1	2	2002	324	4	2	2	630
2	1	2002	324	4	2	2	185
2	1	2002	324	4	2	3	25
1	2	2002	324	5	1	2	350
1	2	2002	324	5	1	3	1380
1	2	2002	324	5	1	4	180
2	1	2002	324	5	1	2	337
2	1	2002	324	5	1	3	935
1	2	2002	324	5	2	2	590
1	2	2002	324	5	2	3	890
2	1	2002	324	5	2	2	504
2	1	2002	324	5	2	3	262
1	2	2002	324	6	1	2	240
1	2	2002	324	6	1	3	150
1	2	2002	324	6	2	3	20
1	2	2002	324	6	2	2	60
1	2	2002	322	7	1	2	420
1	2	2002	322	7	1	3	350
1	2	2002	322	7	1	4	10
2	1	2002	322	7	1	2	355
2	1	2002	322	7	1	3	1312
1	2	2002	322	7	2	2	3450
1	2	2002	322	7	2	3	660
2	1	2002	322	7	2	3	484
2	1	2002	322	7	2	2	2399
1	2	2002	321	8	1	4	20
1	2	2002	321	8	1	3	670
1	2	2002	321	8	1	2	490
2	1	2002	321	8	1	2	457
2	1	2002	321	8	1	3	995
1	2	2002	321	8	2	2	440
1	2	2002	321	8	2	3	430
2	1	2002	321	8	2	3	38
2	1	2002	321	8	2	2	849
1	2	2002	326	9	1	2	110
1	2	2002	326	9	1	3	250
1	2	2002	326	9	1	4	10
2	1	2002	326	9	1	3	216
2	1	2002	326	9	1	2	66
1	2	2002	326	9	2	2	20
1	2	2002	326	9	2	3	20
2	1	2002	326	9	2	3	11
2	1	2002	326	9	2	2	17
1	2	2003	325	1	1	2	2170
1	2	2003	325	1	1	4	0
1	2	2003	325	1	1	3	2060
2	1	2003	325	1	1	2	1598
2	1	2003	325	1	1	3	2445
1	2	2003	325	1	2	2	190
1	2	2003	325	1	2	3	0
2	1	2003	325	1	2	2	262
2	1	2003	325	1	2	3	69
1	2	2003	325	2	0	3	100
2	1	2003	325	2	0	0	89
1	2	2003	325	2	1	3	3900
1	2	2003	325	2	1	2	200
2	1	2003	325	2	1	2	142
2	1	2003	325	2	1	3	1276
1	2	2003	325	2	2	2	0
1	2	2003	325	2	2	3	0
2	1	2003	325	2	2	3	6
2	1	2003	325	2	2	2	8
1	2	2003	325	3	1	2	210
1	2	2003	325	3	1	3	490
1	2	2003	325	3	1	4	0
2	1	2003	325	3	1	3	584
2	1	2003	325	3	1	2	186
1	2	2003	325	3	2	2	30
1	2	2003	325	3	2	3	20
2	1	2003	325	3	2	3	20
2	1	2003	325	3	2	2	43
1	2	2003	324	4	1	3	790
1	2	2003	324	4	1	2	5720
2	1	2003	324	4	1	2	1413
2	1	2003	324	4	1	3	476
1	2	2003	324	4	2	2	2750
1	2	2003	324	4	2	3	280
2	1	2003	324	4	2	3	35
2	1	2003	324	4	2	2	651
1	2	2003	324	5	1	3	1220
1	2	2003	324	5	1	4	0
1	2	2003	324	5	1	2	230
2	1	2003	324	5	1	2	260
2	1	2003	324	5	1	3	2056
1	2	2003	324	5	2	3	2130
1	2	2003	324	5	2	2	450
